"","besta4fgroup_x","bests4fgroup_x"
"1",100,5
"2",100,2
"3",2,1
"4",2,2
"5",1.5,1.5
"6",100,5
"7",2,2
"8",1.5,1
"9",1.5,1
"10",100,2
"11",100,5
"12",2,1
"13",100,3
"14",1.5,1
