"","besta4fgroup_x","bests4fgroup_x"
"1",5,1.5
"2",2,2
"3",10,1
"4",100,5
"5",100,3
"6",50,1.5
"7",10,1
"8",100,5
"9",100,2
"10",5,1
"11",1.5,3
"12",10,1
"13",5,1
"14",100,1
