"","besta4fgroup_x","bests4fgroup_x"
"1",100,5
"2",100,5
"3",1.5,1.5
"4",10,5
"5",5,1.5
"6",50,2
"7",1.5,1
"8",2,1
"9",100,5
"10",100,5
"11",100,5
"12",10,2
"13",1.5,2
"14",1.5,1
