"","besta4fgroup_x","bests4fgroup_x"
"1",1.5,1.5
"2",5,3
"3",100,1
"4",1.5,1.5
"5",50,1
"6",1.5,2
"7",100,2
"8",10,1
"9",5,1
"10",10,1
"11",20,1
"12",50,2
"13",100,1
"14",10,1
